settimana	ricoverati_con_sintomi	terapia_intensiva	totale_ospedalizzati	isolamento_domiciliare	totale_positivi	variazione_totale_positivi	nuovi_positivi	dimessi_guariti	deceduti	casi_da_sospetto_diagnostico	casi_da_screening	totale_casi	tamponi	casi_testati	note	tamponi sett	positivi sett	casi testati	tasso	tasso/casi test	morti sett	Rt casi	Rt osp	Rt tasso	Media 4 sett	variazione media	media morti	variazione media	variaz osp	var terpint
27	22	0	22	379	401	19	79	8699	1571	8670	2001	10671	224194	120593	0	12106	197	6853	1.62729225177598	2.87465343645119	2	1.08839779005525	0.88	0.885583843185184	5681.5	20.6195546950629	1.25	60	-3	-3
28	38	1	39	502	541	93	155	8839	1571	8693	2258	10951	237402	128050	0	13208	280	7457	2.11992731677771	3.75486120423763	0	1.42131979695431	1.77272727272727	1.30619613363657	6293	18.496742412204	0.75	-100	17	1
29	67	10	77	746	823	110	137	8951	1577	8838	2513	11351	251611	135646	0	14209	400	7596	2.81511717925259	5.26592943654555	6	1.42857142857143	1.97435897435897	1.40242985029715	6870.5	10.5596390364602	2	200	38	9
30	126	12	138	1062	1200	85	150	9135	1582	9030	2887	11917	267430	144077	0	15819	566	8431	3.57797585182376	6.7133198908789	5	1.415	1.79220779220779	1.2748594472779	7584.25	11.1645845007746	3.25	53.8461538461539	61	2
31	145	15	160	1365	1525	65	109	9440	1591	9281	3275	12556	285528	153324	0	18098	639	9247	3.53077688142336	6.91034930247648	9	1.12897526501767	1.15942028985507	1.02934902772401	8182.75	13.0060187589747	5	80	22	3
32	145	24	169	1601	1770	49	230	9825	1600	9545	3650	13195	304579	163180	0	19051	639	9856	3.35415463755183	6.48336038961039	9	1	1.05625	0.938210227272727	8782.5	12.22317107885	7.25	24.1379310344828	9	9
33	180	24	204	1703	1907	182	493	10459	1610	9913	4063	13976	325764	174024	0	21185	781	10844	3.6865706868067	7.20213943194393	10	1.22222222222222	1.20710059171598	1.11086519939342	9594.5	13.0230861431028	8.25	21.2121212121212	35	0
34	261	24	285	2456	2741	344	556	11093	1621	10734	4721	15455	349066	185406	0	23302	1479	11382	6.34709466998541	12.9942013705851	11	1.89372599231754	1.39705882352941	1.80421408018726	10332.25	10.1599361223354	9.75	12.8205128205128	81	0
35	436	34	470	3441	3911	428	980	12886	1641	12884	5554	18438	378314	199539	0	29248	2983	14133	10.1989879649891	21.1066298733461	20	2.01690331304936	1.64912280701754	1.62431143487779	11553.75	22.3239208049335	12.5	60	185	10
36	788	46	834	5608	6442	689	1155	15324	1704	16837	6633	23470	412289	215143	0	33975	5032	15604	14.8108903605592	32.2481415021789	63	1.6868923902112	1.77446808510638	1.52786786406401	12990.75	20.1162365529319	26	142.307692307692	364	12
37	1133	57	1190	8104	9294	880	1485	18859	1790	21510	8433	29943	450566	232521	0	38277	6473	17378	16.9109386838049	37.2482449073541	86	1.28636724960254	1.42685851318945	1.15505090130039	14624.25	18.8300254713917	45	91.1111111111111	356	11
38	1387	92	1479	11242	12721	717	1360	22310	1937	25834	11134	36968	489301	249942	0	38735	7025	17421	18.136052665548	40.3248952413754	147	1.0852773057315	1.24285714285714	1.08259853159991	16134	7.97694310152473	79	86.0759493670886	289	35
39	1381	111	1492	14409	15901	168	976	25717	2124	30461	13281	43742	529552	266634	0	40251	6774	16692	16.8293955429679	40.5823148813803	187	0.964270462633452	1.00878972278567	1.00638364063847	16773.75	-0.487368656382741	120.75	54.8654244306418	13	19
40	1248	122	1370	13951	15321	-676	722	30830	2261	33202	15210	48412	567597	280174	0	38045	4670	13540	12.2749375739256	34.4903988183161	137	0.689400649542368	0.918230563002681	0.849887418180296	16257.75	-16.7166428318802	139.25	-1.61579892280072	-122	11
41	997	113	1110	11106	12216	-390	236	37081	2387	34778	16906	51684	600386	290739	0	32789	3272	10565	9.97895635731495	30.970184571699	126	0.700642398286938	0.81021897810219	0.897936400644121	14554.5	-27.4107664296266	149.25	-15.5778894472362	-260	-9

