settimana	ricoverati_con_sintomi	terapia_intensiva	totale_ospedalizzati	isolamento_domiciliare	totale_positivi	variazione_totale_positivi	nuovi_positivi	dimessi_guariti	deceduti	casi_da_sospetto_diagnostico	casi_da_screening	totale_casi	tamponi	casi_testati	note	tamponi sett	positivi sett	casi testati	tasso	tasso/casi test	morti sett	Rt casi	Rt osp	Rt tasso	Media 4 sett	variazione media	media morti	variazione media	variaz osp	var terpint
20	210	9	219	989	1208	-20	10	26117	4104	26659	4770	31429	431761	268189	0	19822	91	10610	0.459085864191303	0.857681432610744	17	1.01111111111111	0.744897959183674	1.04980207351555	11547.25	-8.11665115070688	37.5	-54.6666666666667	-75	-2
21	180	9	189	864	1053	-15	9	26339	4112	26141	5363	31504	450251	278248	0	18490	75	10059	0.405624661979448	0.745600954369222	8	0.824175824175824	0.863013698630137	0.869321552292027	10817	-7.00748821299806	25	-68	-30	0
22	150	6	156	677	833	6	13	26584	4120	25790	5747	31537	468990	288837	0	18739	33	10589	0.176103313944181	0.311644159032959	8	0.44	0.825396825396825	0.417977146095004	10568.5	0.193972654586744	16.25	-50.7692307692308	-33	-3
23	141	5	146	656	802	9	19	26681	4127	25441	6169	31610	487189	299026	0	18199	73	10189	0.401120940711028	0.716458926293061	7	2.21212121212121	0.935897435897436	2.29896471833855	10361.75	-1.66718942263614	10	-30	-10	-1
24	95	5	100	713	813	35	51	26767	4131	25169	6542	31711	504973	309217	0	17784	101	10191	0.567926225820963	0.991070552448239	4	1.38356164383562	0.684931506849315	1.38329011765686	10257	-0.64346300087745	6.75	-40.7407407407407	-46	0
25	87	3	90	719	809	-28	60	26943	4136	24928	6960	31888	522100	318659	0	17127	177	9442	1.03345594675074	1.8746028383817	5	1.75247524752475	0.9	1.89149282435128	10102.75	-6.54029843359481	6	-16.6666666666667	-10	-2
26	75	2	77	797	874	39	58	27086	4140	24731	7369	32100	537147	327181	0	15047	212	8522	1.4089187213398	2.48767894860361	4	1.19774011299435	0.855555555555556	1.32704319958844	9586	-11.0995201335281	5	-20	-13	-1
27	83	5	88	1007	1095	56	100	27145	4143	24557	7826	32383	560823	342897	0	23676	283	15716	1.19530326068593	1.80071264952914	3	1.33490566037736	1.14285714285714	0.723852509400347	10967.75	43.2928358140913	4	-25	11	3
28	98	7	105	1327	1432	69	93	27303	4146	24398	8483	32881	587908	360988	0	27085	498	18091	1.8386560827026	2.75274998618097	3	1.75971731448763	1.19318181818182	1.528700310347	12942.75	39.7770952850051	3.75	-20	17	2
29	105	8	113	1639	1752	92	119	27390	4151	24175	9118	33293	614762	378191	0	26854	412	17203	1.53422208981902	2.3949311166657	5	0.827309236947791	1.07619047619048	0.870014032763035	14883	15.5882550561043	3.75	33.3333333333333	8	1
30	114	9	123	2006	2129	54	159	27532	4153	23990	9824	33814	640885	393413	0	26123	521	15222	1.9944110553918	3.42267770332414	2	1.26456310679612	1.08849557522124	1.4291340905409	16558	-8.0686073197246	3.25	-38.4615384615385	10	1
31	143	7	150	2208	2358	102	189	27883	4155	23667	10729	34396	670699	410265	0	29814	582	16852	1.95210303884081	3.45359601234275	2	1.11708253358925	1.21951219512195	1.0090333685198	16842	0.059375371096069	3	-33.3333333333333	27	-2
32	180	12	192	2492	2684	144	267	28287	4161	23202	11930	35132	707709	428535	0	37010	736	18270	1.9886517157525	4.02846195949644	6	1.26460481099656	1.28	1.16645431170849	16886.75	8.19133344189972	3.75	60	42	5
33	273	15	288	3135	3423	368	538	28721	4168	23944	12368	36312	748061	447344	0	40352	1180	18809	2.92426645519429	6.27359242915626	7	1.60326086956522	1.5	1.55731703370496	17288.25	8.79643688632453	4.25	64.7058823529412	96	3
34	457	22	479	4984	5463	1360	1577	29314	4180	24579	14378	38957	799421	476939	0	51360	2645	29595	5.14992211838006	8.93732049332658	12	2.24152542372881	1.66319444444444	1.42459373863542	20881.5	41.7283241146469	6.75	77.7777777777778	191	7
35	883	61	944	9663	10607	2808	3220	30113	4203	26243	18680	44923	868770	511428	0	69349	5966	34489	8.6028637759737	17.2982690133086	23	2.25557655954631	1.97077244258873	1.93550953288797	25290.75	36.3700167057126	12	91.6666666666667	465	39
36	1849	102	1951	19316	21267	2980	3649	31620	4273	29063	28097	57160	955500	574505	0	86730	12237	63077	14.1093047388447	19.4000982925631	70	2.0511230305062	2.06673728813559	1.12150517937011	36492.5	72.849215592245	28	150	1007	41
37	3108	196	3304	32791	36095	4389	5887	34153	4415	34275	40388	74663	1050421	652762	0	94921	17503	78257	18.4395444632905	22.366050321377	142	1.43033423224647	1.69349051768324	1.15288335059369	51354.5	52.3858668665842	61.75	129.95951417004	1353	94
38	4540	312	4852	51404	56256	4073	6558	39721	4678	43124	57531	100655	1162525	735109	0	112104	25992	82347	23.1856133590238	31.5639914022369	263	1.48500257098783	1.46852300242131	1.4112456579814	64542.5	27.5856993453926	124.5	111.244979919679	1548	116
39	5074	378	5452	67488	72940	2631	6117	50884	5117	53935	75006	128941	1288923	815862	0	126398	28286	80753	22.378518647447	35.0278008247372	439	1.08825792551554	1.12366034624897	1.10973927151225	76108.5	6.10247212860587	228.5	92.1225382932166	600	66
40	5112	399	5511	71412	76923	818	3751	68736	5646	64973	86332	151305	1432221	907022	0	143298	22364	91160	15.6066379153931	24.5326897762176	529	0.790638478399208	1.01082171680117	0.700377677119035	83129.25	9.66055870827657	343.25	54.1150764748725	59	21
41	4737	388	5125	69818	74943	-2766	2454	86334	6239	70013	97503	167516	1558737	961035	0	126516	16211	54013	12.8133990957665	30.0131449836151	593	0.724870327311751	0.929958265287607	1.22339397992593	77068.25	-29.915367223208	456	30.0438596491228	-386	-11
42	4243	345	4588	61161	65749	-289	911	106263	6687	0	0	178699	1675897	1004206	0	117160	11183	43171	9.54506657562308	25.9039633087026	448	0.689840231941274	0.895219512195122	0.863087268023536	67274.25	-35.8283444259877	502.25	-10.801393728223	-537	-43

