02/24/20 00:00	0	0		
02/25/20 00:00	0	0		
02/26/20 00:00	0	0		
02/27/20 00:00	0	0	0	0
02/28/20 00:00	0	0	0	0
02/29/20 00:00	0	0	0	0
03/01/20 00:00	0	0	0	0
03/02/20 00:00	0	0	0	0
03/03/20 00:00	0	0	0.142857142857143	0.142857142857143
03/04/20 00:00	0	0	0.428571428571429	0.285714285714286
03/05/20 00:00	0	0	1.28571428571429	0.857142857142857
03/06/20 00:00	1	1	2.28571428571429	1
03/07/20 00:00	2	1	3.42857142857143	1.14285714285714
03/08/20 00:00	6	4	5.14285714285714	1.71428571428571
03/09/20 00:00	7	1	7.57142857142857	2.42857142857143
03/10/20 00:00	8	1	10.8571428571429	3.28571428571429
03/11/20 00:00	12	4	14.7142857142857	3.85714285714286
03/12/20 00:00	17	5	18.7142857142857	4
03/13/20 00:00	24	7	24	5.28571428571429
03/14/20 00:00	29	5	31.1428571428571	7.14285714285714
03/15/20 00:00	34	5	38.5714285714286	7.42857142857143
03/16/20 00:00	44	10	47.2857142857143	8.71428571428571
03/17/20 00:00	58	14	58.4285714285714	11.1428571428571
03/18/20 00:00	64	6	71.8571428571429	13.4285714285714
03/19/20 00:00	78	14	88.4285714285714	16.5714285714286
03/20/20 00:00	102	24	106.714285714286	18.2857142857143
03/21/20 00:00	123	21	125.571428571429	18.8571428571429
03/22/20 00:00	150	27	145.571428571429	20
03/23/20 00:00	172	22	164.714285714286	19.1428571428571
03/24/20 00:00	190	18	185	20.2857142857143
03/25/20 00:00	204	14	207.571428571429	22.5714285714286
03/26/20 00:00	212	8	229	21.4285714285714
03/27/20 00:00	244	32	248.142857142857	19.1428571428571
03/28/20 00:00	281	37	266.714285714286	18.5714285714286
03/29/20 00:00	300	19	284.142857142857	17.4285714285714
03/30/20 00:00	306	6	302.571428571429	18.4285714285714
03/31/20 00:00	320	14	320.285714285714	17.7142857142857
04/01/20 00:00	326	6	347.857142857143	27.5714285714286
04/02/20 00:00	341	15	374.714285714286	26.8571428571429
04/03/20 00:00	368	27	403.857142857143	29.1428571428571
04/04/20 00:00	474	106	432.714285714286	28.8571428571429
04/05/20 00:00	488	14	463	30.2857142857143
04/06/20 00:00	510	22	494.714285714286	31.7142857142857
04/07/20 00:00	522	12	523	28.2857142857143
04/08/20 00:00	538	16	538.142857142857	15.1428571428571
04/09/20 00:00	563	25	556.428571428571	18.2857142857143
04/10/20 00:00	566	3	571.857142857143	15.4285714285714
04/11/20 00:00	580	14	588	16.1428571428571
04/12/20 00:00	616	36	603.857142857143	15.8571428571429
04/13/20 00:00	618	2	624.714285714286	20.8571428571429
04/14/20 00:00	635	17	650.142857142857	25.4285714285714
04/15/20 00:00	649	14	675.714285714286	25.5714285714286
04/16/20 00:00	709	60	697.857142857143	22.1428571428571
04/17/20 00:00	744	35	722	24.1428571428571
04/18/20 00:00	759	15	746.285714285714	24.2857142857143
04/19/20 00:00	771	12	772.571428571429	26.2857142857143
04/20/20 00:00	787	16	793.714285714286	21.1428571428571
04/21/20 00:00	805	18	812.714285714286	19
04/22/20 00:00	833	28	830.714285714286	18
04/23/20 00:00	857	24	849.285714285714	18.5714285714286
04/24/20 00:00	877	20	866.142857142857	16.8571428571429
04/25/20 00:00	885	8	881	14.8571428571429
04/26/20 00:00	901	16	893.142857142857	12.1428571428571
04/27/20 00:00	905	4	902.285714285714	9.14285714285714
04/28/20 00:00	909	4	909.285714285714	7
04/29/20 00:00	918	9	916	6.71428571428571
04/30/20 00:00	921	3	920.714285714286	4.71428571428571
05/01/20 00:00	926	5	925.428571428571	4.71428571428571
05/02/20 00:00	932	6	929.857142857143	4.42857142857143
05/03/20 00:00	934	2	934.571428571429	4.71428571428571
05/04/20 00:00	938	4	940.142857142857	5.57142857142857
05/05/20 00:00	940	2	946.428571428572	6.28571428571429
05/06/20 00:00	951	11	952.142857142857	5.71428571428571
05/07/20 00:00	960	9	958	5.85714285714286
05/08/20 00:00	970	10	963.571428571429	5.57142857142857
05/09/20 00:00	972	2	968.857142857143	5.28571428571429
05/10/20 00:00	975	3	972.571428571429	3.71428571428571
05/11/20 00:00	977	2	975	2.42857142857143
05/12/20 00:00	977	0	976.142857142857	1.14285714285714
05/13/20 00:00	977	0	977.285714285714	1.14285714285714
05/14/20 00:00	977	0	978	0.714285714285714
05/15/20 00:00	978	1	978.428571428571	0.428571428571429
05/16/20 00:00	980	2	978.857142857143	0.428571428571429
05/17/20 00:00	980	0	979.714285714286	0.857142857142857
05/18/20 00:00	980	0	980.714285714286	1
05/19/20 00:00	980	0	981.714285714286	1
05/20/20 00:00	983	3	982.428571428572	0.714285714285714
05/21/20 00:00	984	1	983.142857142857	0.714285714285714
05/22/20 00:00	985	1	984	0.857142857142857
05/23/20 00:00	985	0	984.857142857143	0.857142857142857
05/24/20 00:00	985	0	985.285714285714	0.428571428571429
05/25/20 00:00	986	1	985.714285714286	0.428571428571429
05/26/20 00:00	986	0	986.714285714286	1
05/27/20 00:00	986	0	987.714285714286	1
05/28/20 00:00	987	1	988.857142857143	1.14285714285714
05/29/20 00:00	992	5	990	1.14285714285714
05/30/20 00:00	992	0	991.285714285714	1.28571428571429
05/31/20 00:00	993	1	992.571428571429	1.28571428571429
06/01/20 00:00	994	1	994	1.42857142857143
06/02/20 00:00	995	1	994.857142857143	0.857142857142857
06/03/20 00:00	995	0	995.857142857143	1
06/04/20 00:00	997	2	996.714285714286	0.857142857142857
06/05/20 00:00	998	1	997.428571428572	0.714285714285714
06/06/20 00:00	999	1	998.142857142857	0.714285714285714
