settimana	ricoverati_con_sintomi	terapia_intensiva	totale_ospedalizzati	isolamento_domiciliare	totale_positivi	variazione_totale_positivi	nuovi_positivi	dimessi_guariti	deceduti	casi_da_sospetto_diagnostico	casi_da_screening	totale_casi	tamponi	casi_testati	note	tamponi sett	positivi sett	casi testati	tasso	tasso/casi test	morti sett	Rt casi	Rt osp	Rt tasso	Media 4 sett	variazione media	media morti	variazione media	variaz osp	var terpint
24	162	9	171	5624	5795	15	96	73724	16818	89689	6648	96337	1320427	794279	0	54878	382	34840	0.696089507635118	1.09644087256028	17	0.938574938574939	1.13245033112583	0.944878800102681	35647.75	-2.26592141158979	29.5	-42.3728813559322	20	-5
25	150	9	159	5388	5547	-21	92	74504	16833	90038	6846	96884	1374709	822142	0	54282	547	27863	1.00770052687815	1.96317697304669	15	1.43193717277487	0.929824561403509	1.79049962672636	33056.25	-15.7103422197013	19	-21.0526315789474	-12	0
26	147	14	161	5174	5335	164	282	75248	16840	90391	7032	97423	1417928	845795	0	43219	539	23653	1.24713667599898	2.2787807043504	7	0.985374771480804	1.0125786163522	1.16076173245549	30357.5	-22.0851519393889	11	-36.3636363636364	2	5
27	153	15	168	5696	5864	266	345	75705	16857	91020	7406	98426	1491278	896473	0	73350	1003	50678	1.36741649625085	1.97916255574411	17	1.860853432282	1.04347826086957	0.868518217644071	34258.5	47.9282513828685	14	21.4285714285714	7	1
28	195	22	217	6735	6952	232	333	76258	16865	91637	8438	100075	1596833	974484	0	105555	1649	78011	1.56221874851973	2.1138044634731	8	1.64406779661017	1.29166666666667	1.06802973678853	45051.25	73.1605671318776	11.75	-31.9148936170213	49	7
29	242	26	268	7842	8110	301	374	76818	16886	92479	9335	101814	1716130	1059954	0	119297	1739	85470	1.45770639664032	2.03463203463203	21	1.05457853244391	1.23502304147465	0.962545055510489	59453	43.7606176307335	13.25	58.4905660377359	51	4
30	262	28	290	8558	8848	131	336	77715	16901	93294	10170	103464	1830924	1134109	0	114794	1650	74155	1.43735735317177	2.22506911199515	15	0.948821161587119	1.08208955223881	1.09359779759761	72078.5	2.88088681090755	15.25	-1.63934426229508	22	2
31	283	36	319	8757	9076	219	306	78849	16923	94073	10775	104848	1953299	1213246	0	122375	1384	79137	1.13094994892748	1.74886589079697	22	0.838787878787879	1.1	0.785982728073027	79193.25	-0.071028780862005	16.5	33.3333333333333	29	8
32	306	31	337	8997	9334	296	433	80041	16948	94891	11432	106323	2076349	1293542	0	123050	1475	80296	1.19869971556278	1.83695327289031	25	1.06575144508671	1.0564263322884	1.05036828870463	79764.5	0.666336528154756	20.75	20.4819277108434	18	-5
33	305	41	346	9186	9532	998	1283	81811	16973	96143	12173	108316	2195207	1370079	0	118858	1993	76537	1.67679079237409	2.60396932202725	25	1.35118644067797	1.02670623145401	1.41754793682373	77531.25	-1.28238613462314	21.75	14.9425287356322	9	10
34	463	50	513	12866	13379	2199	3671	83353	16988	99501	14219	113720	2332922	1458192	0	137715	5404	88113	3.92404603710562	6.13303371806657	15	2.71149021575514	1.48265895953757	2.35526343040472	81020.75	8.75362175738931	21.75	-31.0344827586207	167	9
35	1136	113	1249	23385	24634	6638	7449	86738	17084	109408	19048	128456	2516861	1575120	0	183939	14736	116928	8.01135158938561	12.6026272577997	96	2.72686898593634	2.43469785575049	2.05487656470485	90468.5	29.2471965380215	40.25	138.509316770186	736	63
36	2459	242	2701	47624	50325	10406	12177	90356	17252	129608	28325	157933	2737039	1711397	0	220178	29477	136277	13.3878044127933	21.6302090594891	168	2.00033930510315	2.16253002401922	1.7163253833523	104463.75	30.453865575379	76	121.052631578947	1452	129
37	4406	435	4841	89577	94418	9124	11596	97576	17635	166581	43048	209629	3008361	1871538	0	271322	51696	160141	19.0533756938251	32.2815518824036	383	1.75377412898192	1.79229914846353	1.49242902801449	125364.75	27.740054520908	165.5	131.419939577039	2140	193
38	6414	670	7084	124375	131459	5311	12837	115630	18442	203758	61773	265531	3277767	2014134	0	269406	55902	142596	20.7500946526803	39.2030631995287	807	1.08136025998143	1.4633340218963	1.21441073658228	138985.5	2.59775300301111	363.5	122.008253094911	2243	235
39	7901	855	8756	143583	152339	-8481	9222	153103	19466	245017	79891	324908	3568531	2160155	0	290764	59377	146021	20.4210287380831	40.6633292471631	1024	1.06216235555079	1.2360248447205	1.03724877416344	146258.75	-0.16255437708855	595.5	71.9563392107473	1672	185
40	8331	945	9276	140642	149918	-12176	8492	206317	20664	280138	96761	376899	3831713	2262985	0	263182	51991	102830	19.7547704630256	50.560147816785	1198	0.875608400559139	1.05938784833257	1.24338436504956	137897	-25.429849815442	853	40.4454865181712	520	90
41	7433	906	8339	117069	125408	-6596	4342	260528	21855	299979	107812	407791	4072678	2349286	0	240965	30892	86301	12.8201191044343	35.7956454734012	1191	0.594179761881864	0.898986632169038	0.707981424483054	119437	-27.7434965714142	1055	12.8909952606635	-937	-39
42	6362	781	7143	108857	116000	904	3897	291591	23080	0	0	430671	4296089	2420283	0	223411	22880	70997	10.2412146223776	32.2267138048087	1225	0.740644827139713	0.856577527281449	0.900297043917128	101537.25	-30.0778778231634	1159.5	5.64898663216904	-1196	-125
43	5053	685	5738	72583	78321	-7859	3689	342409	23877	0	0	444607	4449633	2468555	0	153544	13936	48272	9.07622570728912	28.8697381504806	797	0.609090909090909	0.803303933921322	0.895832517250731	77100	-37.390402075227	1102.75	-27.7261391974609	-1405	-96
44	4232	561	4793	56521	61314	-7467	950	374434	24420	0	0	460168	4640399	2534888	0	190766	15561	66333	8.15711395112337	23.4589118538284	543	1.11660447761194	0.835308469850122	0.812577922652128	67975.75	-2.41667065093066	939	-42.1725239616613	-945	-124

