1	10	114
2	11	119
3	13	127
4	12	134
5	14	138
6	18	137
7	16	146
8	16	156
9	17	160
10	18	158
11	17	169
12	17	173
13	18	183
14	17	185
15	19	193
16	21	199
17	21	203
18	19	193
19	19	188
20	23	190
21	22	207
22	20	207
23	20	212
24	18	207
25	17	217
26	15	216
27	15	216
28	14	218
29	14	219
30	14	220
31	11	212
32	11	211
33	11	223
34	11	224
35	13	225
36	14	237
37	13	245
38	14	240
39	16	257
40	23	277
41	25	309
42	31	354
43	35	418
44	49	441
45	61	465
46	65	492
47	67	506
48	70	551
49	78	609
50	86	682
51	86	722
52	86	743
53	89	812
54	88	845
55	93	909
56	103	1037
57	119	1118
58	123	1177
59	119	1276
60	125	1348
61	132	1399
62	138	1520
63	153	1617
64	161	1715
65	177	1765
66	177	1850
67	188	1911
68	194	2030
69	204	2143
70	215	2235
71	222	2294
72	228	2322
73	225	2389
74	231	2474
75	246	2531
76	247	2640
77	247	2698
78	244	2693
79	244	2733
80	244	2778

