settimana	ricoverati_con_sintomi	terapia_intensiva	totale_ospedalizzati	isolamento_domiciliare	totale_positivi	variazione_totale_positivi	nuovi_positivi	dimessi_guariti	deceduti	casi_da_sospetto_diagnostico	casi_da_screening	totale_casi	tamponi	casi_testati	note	tamponi sett	positivi sett	casi testati	tasso	tasso/casi test	morti sett	Rt casi	Rt osp	Rt tasso	Media 4 sett	variazione media	media morti	variazione media	variaz osp	var terpint	morti/contagi	morti/cont cum
21	768	65	833	12324	13157	50	388	195106	34967	222074	21156	243230	5962744	3582893	0	302290	1411	170883	0.466770319891495	0.82571115909716	98	1.02024584237166	0.818271119842829	1.05381759831962	179702.25	-4.90770148954729	149	-34.2281879194631	-185	-7	5.71095571095571	14.5431632534229
22	745	47	792	11612	12404	87	445	197162	35058	222212	22412	244624	6262302	3754568	0	299558	1394	171675	0.465352285700933	0.811999417504005	91	0.987951807228916	0.95078031212485	0.983394021696221	174166.5	-1.43052768471549	100.25	-9.22693266832918	-41	-18	6.57989877078814	14.4976201208342
23	740	45	785	11796	12581	15	409	198593	35112	222442	23844	246286	6586123	3942369	0	323821	1662	187801	0.513246515822013	0.884979313209195	54	1.1922525107604	0.991161616161616	1.08987678332273	176716.25	6.27262631478429	92	-41.304347826087	-7	-2	3.82707299787385	14.4357192780496
24	734	41	775	11699	12474	328	622	200589	35166	222891	25338	248229	6940801	4131535	0	354678	1943	189166	0.547820840311494	1.02714018375395	54	1.1690734055355	0.987261146496815	1.16063750691442	179881.25	5.16159966644661	74.25	-27.2727272727273	-10	-4	3.87374461979914	14.3755314278239
25	779	46	825	12543	13368	432	738	202248	35209	223556	27269	250825	7276276	4307634	0	335475	2596	176099	0.773828154109844	1.47417077893685	43	1.33607822954195	1.06451612903226	1.43521868022835	181185.25	-2.80720974803413	60.5	-28.9256198347107	50	5	2.58724428399519	14.2959810951495
26	810	58	868	13999	14867	1069	1530	203968	35400	224812	29423	254235	7588083	4477310	0	311807	3410	169676	1.09362522329518	2.00971262877484	191	1.3135593220339	1.05212121212121	1.36328345229053	180685.5	-6.09318401310565	85.5	123.391812865497	43	12	9.83015954709212	14.2610251018213
27	1045	65	1110	18085	19195	1806	2318	205662	35441	227128	33170	260298	8053551	4773326	0	465468	6063	296016	1.30256000412488	2.04820009729204	41	1.77800586510264	1.27880184331797	1.01915073228189	207739.25	42.4940159358427	82.25	-50.1519756838906	242	7	1.57935285053929	14.1297717532144
28	1288	94	1382	24696	26078	1757	2293	207653	35483	229832	39382	269214	8644859	5160371	0	591308	8916	387045	1.50784362802465	2.30360810758439	42	1.47055912914399	1.24504504504505	1.12469875898846	257209	50.478793510336	79.25	-47.0031545741325	272	29	1.2316715542522	13.9567722776172
29	1719	142	1861	31132	32993	1921	2566	210238	35553	233115	45669	278784	9271810	5578731	0	626951	9570	418360	1.52643508025348	2.28750358542882	70	1.07335127860027	1.3465991316932	0.993009000922271	317774.25	31.6532097865072	86	-18.6046511627907	479	48	1.15454395513772	13.6585759398843
30	2122	197	2319	36868	39187	1615	2595	213950	35624	237003	51758	288761	9863427	5956171	0	591617	9977	377440	1.68639508330558	2.64333403984739	71	1.04252873563218	1.24610424502955	1.15555405319807	369715.25	2.08937824447328	56	26.7857142857143	458	55	0.796321220278152	13.2325956302421
31	2475	232	2707	42372	45079	2006	3116	218703	35724	241638	57868	299506	10488676	6342654	0	625249	10745	386483	1.71851534348715	2.78019990529984	100	1.07697704720858	1.16731349719707	1.05177774106081	392332	-1.49082919568121	70.75	41.3427561837456	388	35	1.04493207941484	12.8142217630854
32	2977	264	3241	47082	50323	2568	4072	225190	35851	246842	64522	311364	11138173	6732777	0	649497	11858	390123	1.8257205191094	3.03955419188307	127	1.10358306188925	1.19726634650905	1.0932862007832	393101.5	-0.757692351720866	92	38.0434782608696	534	32	1.27292773378771	12.4154577661111
33	3487	323	3810	55093	58903	5720	7713	232681	36002	255576	72010	327586	11844346	7153866	0	706173	16222	421089	2.29717080658705	3.85239224961944	151	1.36802158880081	1.17556309780932	1.26742015651736	393783.75	6.93407231761087	112.25	34.5211581291759	569	59	1.40530479292694	12.0204603580563
34	4821	452	5273	77491	82764	12991	16324	240600	36205	272960	86609	359569	12650155	7652059	0	805809	31983	498193	3.96905470154838	6.41980116139729	203	1.97158180249045	1.38398950131234	1.66644535276268	423972	17.5061088939836	145.25	39.7590361445783	1463	129	1.71192443919717	11.6278696316851
35	7676	797	8473	125530	134003	26825	30611	252959	36616	310881	112697	423578	13639444	8265568	0	989289	64009	613509	6.47020233723411	10.4332617777408	411	2.00134446424663	1.60686516214679	1.62516899128851	480728.5	27.6206840243505	223	84.304932735426	3200	345	2.53359635063494	11.1775228489618
36	12997	1284	14281	222403	236684	41186	46919	268626	37479	378783	164006	542789	14778688	8969472	0	1139244	119211	703904	10.46404457693	16.9356900941037	863	1.86240997359746	1.68547149769857	1.6232402152734	559173.75	25.8828762973941	407	112.039312039312	5808	487	2.69830847637808	10.4233123545133
37	19840	2022	21862	374650	396512	44483	54869	296017	39059	487976	243612	731588	16103649	9783603	0	1324961	188799	814131	14.2494005483935	23.1902482524311	1580	1.58373807786194	1.53084517890904	1.36931227033405	657434.25	23.8345887820721	764.25	106.738632646385	7581	738	2.46840288084488	9.22120601164366
38	27636	2849	30485	542849	573334	38753	59250	345289	41750	614843	345530	960373	17522438	10635747	0	1418789	228785	852144	16.1253717078438	26.8481618130269	2691	1.21179137601364	1.39442868904949	1.15773498932735	745922	14.2403629333898	1386.25	94.1208295761948	8623	827	2.25734202380653	7.69175499135023
39	32536	3492	36028	681756	717784	19495	55691	442364	45733	751766	454115	1205881	19031049	11505254	0	1508611	245508	869507	16.2737776670063	28.2353103540282	3983	1.073094827021	1.18182712809578	1.05166642508569	809921.5	7.35694755602858	2279.25	74.7504661621147	5543	643	2.10965100450744	6.25119602836569
40	34697	3810	38507	758342	796849	-9098	22930	584493	50453	870461	561334	1431795	20537521	12303705	0	1506472	225914	798451	14.9962296013467	28.2940343239598	4720	0.920189973442821	1.06880759409348	1.00207980607244	833558.25	-4.21173325319496	3243.5	45.5218128564822	2479	318	2.06307231680399	5.25347963759914

